127.0.0.1 - - [03/Nov/2020:17:15:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:32 +0900] "GET /kopo/ HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:36 +0900] "GET /kopo/board/list HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:37 +0900] "GET /kopo/board/add HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:44 +0900] "POST /kopo/board/add HTTP/1.1" 500 15169
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:56 +0900] "GET /kopo/board/list HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:15:56 +0900] "GET /kopo/board/list HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:16:03 +0900] "GET /kopo/board/add HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:16:05 +0900] "POST /kopo/board/add HTTP/1.1" 500 15169
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:20:58 +0900] "POST /kopo/board/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:20:58 +0900] "GET /kopo/board/list HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:20:58 +0900] "GET /kopo/board/list HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:21:01 +0900] "GET /kopo/board/update/1 HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:21:07 +0900] "POST /kopo/board/update/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:21:07 +0900] "GET /kopo/board/list HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:21:08 +0900] "GET /kopo/board/delete/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2020:17:21:08 +0900] "GET /kopo/board/list HTTP/1.1" 200 611
